panel,panel_order,month,estimate,lower,upper
panel_6,6,3,-0.00440042,-0.00896044,-0.00008040
panel_6,6,4,-0.00500042,-0.00944044,-0.00080040
panel_6,6,5,-0.00524042,-0.00956044,-0.00080040
panel_6,6,6,-0.00464042,-0.00944044,0.00039960
panel_6,6,7,-0.00380042,-0.00872043,0.00111960
panel_6,6,8,-0.00416042,-0.00932044,0.00087960
panel_6,6,9,-0.00260041,-0.00812043,0.00315961
panel_6,6,10,-0.00110040,-0.00620042,0.00387962
panel_6,6,11,0.00015960,-0.00500042,0.00507962
panel_6,6,12,0.00087960,-0.00428042,0.00555962
panel_6,6,13,0.00159961,-0.00200041,0.00531962
panel_6,6,14,0.00087960,-0.00248041,0.00423962
panel_6,6,15,0.00135961,-0.00188041,0.00423962
panel_6,6,16,0.00159961,-0.00104040,0.00423962
panel_6,6,17,0.00123960,-0.00116040,0.00363961
panel_6,6,18,0.00147961,-0.00080040,0.00351961
panel_6,6,19,0.00129961,-0.00092040,0.00351961
panel_6,6,20,0.00099960,-0.00104040,0.00303961
panel_6,6,21,0.00123960,-0.00056040,0.00303961
panel_6,6,22,0.00075960,-0.00104040,0.00267961
panel_6,6,23,0.00051960,-0.00104040,0.00207961
panel_6,6,24,0.00051960,-0.00080040,0.00195961
panel_6,6,25,0.00027960,-0.00080040,0.00159961
panel_6,6,26,0.00027960,-0.00068040,0.00123960
panel_6,6,27,0.00027960,-0.00080040,0.00123960
panel_6,6,28,0.00003960,-0.00080040,0.00087960
panel_6,6,29,0.00003960,-0.00068040,0.00075960
panel_6,6,30,-0.00008040,-0.00080040,0.00075960
panel_6,6,31,-0.00014040,-0.00080040,0.00051960
panel_6,6,32,-0.00008040,-0.00080040,0.00051960
panel_6,6,33,-0.00008040,-0.00068040,0.00051960
panel_6,6,34,-0.00008040,-0.00068040,0.00051960
panel_6,6,35,0.00003960,-0.00056040,0.00051960
panel_6,6,36,-0.00002040,-0.00044040,0.00051960
