panel,horizon,group,group_order,estimate,lower,upper
tfp,4,War site,1,-7.34669470,-10.50957900,-4.18381020
tfp,5,War site,1,-5.69200850,-9.83686100,-1.54715590
tfp,6,War site,1,-3.09762400,-7.62430290,1.42905490
tfp,7,War site,1,-2.35088640,-5.73266440,1.03089170
tfp,8,War site,1,-0.93245969,-4.10300030,2.23808090
tfp,0,Belligerent,2,-0.37435036,-0.86084418,0.11214345
tfp,1,Belligerent,2,0.06707706,-0.77196010,0.90611421
tfp,2,Belligerent,2,0.67300946,-0.41959896,1.76561790
tfp,3,Belligerent,2,0.68819751,-1.17952800,2.55592300
tfp,4,Belligerent,2,0.70996812,-1.31669210,2.73662830
tfp,5,Belligerent,2,0.78788928,-0.95018222,2.52596080
tfp,6,Belligerent,2,0.61882805,-1.15625450,2.39391050
tfp,7,Belligerent,2,0.84854164,-0.58435012,2.28143340
tfp,8,Belligerent,2,0.40761019,-0.66098456,1.47620490
tfp,0,Third,3,-0.45819684,-1.01344140,0.09704772
tfp,1,Third,3,-0.25272633,-0.49701484,-0.00843781
tfp,2,Third,3,-0.15363506,-0.51896826,0.21169815
tfp,3,Third,3,-0.33491352,-0.86154340,0.19171637
tfp,4,Third,3,-0.53907482,-1.24773780,0.16958811
tfp,5,Third,3,-0.19891526,-0.92007525,0.52224472
tfp,6,Third,3,-0.03270802,-0.72240764,0.65699160
tfp,7,Third,3,-0.21785332,-0.97273572,0.53702909
tfp,8,Third,3,-0.05277515,-0.84726904,0.74171874
