panel,row,column,assets,factors,red,green,blue
3,7,10,450,11,248,229,74
3,8,0,500,1,53,81,170
3,8,1,500,2,52,182,227
3,8,2,500,3,128,201,93
3,8,3,500,4,251,227,72
3,8,4,500,5,251,227,72
3,8,5,500,6,250,229,71
3,8,6,500,7,250,229,73
3,8,7,500,8,248,229,74
3,8,8,500,9,248,230,76
3,8,9,500,10,247,229,74
3,8,10,500,11,248,230,76
3,9,0,550,1,54,81,170
3,9,1,550,2,54,175,225
3,9,2,550,3,74,196,157
3,9,3,550,4,250,229,71
3,9,4,550,5,250,229,71
3,9,5,550,6,250,229,73
3,9,6,550,7,248,229,74
3,9,7,550,8,248,230,75
3,9,8,550,9,248,230,78
3,9,9,550,10,248,230,76
3,9,10,550,11,248,230,78
3,10,0,600,1,53,78,169
3,10,1,600,2,56,170,223
3,10,2,600,3,58,196,191
3,10,3,600,4,251,227,72
3,10,4,600,5,251,227,72
3,10,5,600,6,251,225,71
3,10,6,600,7,251,227,72
3,10,7,600,8,251,227,72
3,10,8,600,9,248,229,74
3,10,9,600,10,248,230,75
3,10,10,600,11,248,230,75
3,11,0,650,1,52,76,168
3,11,1,650,2,60,159,216
3,11,2,650,3,53,193,209
3,11,3,650,4,251,227,72
3,11,4,650,5,251,227,72
3,11,5,650,6,252,221,70
3,11,6,650,7,251,227,72
3,11,7,650,8,250,229,73
3,11,8,650,9,248,229,74
3,11,9,650,10,248,230,76
3,11,10,650,11,248,229,74
3,12,0,700,1,50,74,167
3,12,1,700,2,62,156,214
3,12,2,700,3,52,190,216
3,12,3,700,4,251,227,72
3,12,4,700,5,251,227,72
3,12,5,700,6,254,219,71
3,12,6,700,7,252,221,70
3,12,7,700,8,251,225,71
3,12,8,700,9,251,227,72
3,12,9,700,10,251,225,71
3,12,10,700,11,250,229,73
3,13,0,750,1,51,71,165
3,13,1,750,2,63,148,208
3,13,2,750,3,54,185,223
3,13,3,750,4,255,217,70
3,13,4,750,5,255,218,71
3,13,5,750,6,255,213,71
3,13,6,750,7,255,217,70
3,13,7,750,8,255,217,70
3,13,8,750,9,253,222,69
3,13,9,750,10,250,229,73
3,13,10,750,11,250,228,71
3,14,0,800,1,48,68,163
3,14,1,800,2,63,137,202
3,14,2,800,3,56,173,224
3,14,3,800,4,255,212,71
3,14,4,800,5,255,212,71
3,14,5,800,6,255,209,70
3,14,6,800,7,255,209,70
3,14,7,800,8,255,209,70
